,Date.Sampled,Address,HCluster,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,longitude,latitude
57,10/5/2016,"10763 S Spaulding Ave, Chicago, IL",1,2.67,2.53,3.76,7.81,9.67,13.2,17.1,18.6,19.5,15.7,8.67,-87.70339471428572,41.69826518367347
59,6/21/2021,"10743 S Wallace St, Chicago, IL",4,2.79,5.03,5.34,3.99,4.03,4.09,4.38,8.2,10.9,11.0,1.44,-87.63741749505343,41.69841195
61,12/19/2019,"10894 S Avenue F, Chicago, IL",1,2.03,2.19,3.48,3.6,3.29,3.28,4.44,6.96,8.1,6.9,6.38,-87.53056573160885,41.6974538770917
62,9/4/2019,"10881 S Central Park Ave, Chicago, IL",3,6.56,6.92,7.91,17.5,17.8,12.7,11.0,11.4,11.9,11.3,7.73,-87.71062274775302,41.69548793708432
63,2/22/2020,"10845 S Drake Ave, Chicago, IL",5,10.8,6.76,5.44,5.52,9.67,15.6,20.7,23.4,23.1,21.6,8.47,-87.70943712767415,41.6960853195277
64,12/6/2021,"10849 S Eggleston Ave, Chicago, IL",2,2.88,3.62,3.17,3.17,2.74,3.42,4.1,5.05,8.34,7.76,6.32,-87.6337743536434,41.6964817
65,1/28/2020,"10882 S Green St, Chicago, IL",2,0.5,0.5,1.05,0.5,1.85,2.44,1.75,3.6,5.13,2.86,0.5,-87.64383253375097,41.696361662304696
66,3/2/2022,"10822 S Hamlin Ave, Chicago, IL",2,2.47,3.57,3.91,3.92,3.83,3.87,3.91,3.82,3.65,3.47,3.0,-87.71574662374273,41.696335726178056
67,9/3/2019,"10821 S Prospect Ave, Chicago, IL",2,3.42,3.98,7.03,6.6,6.12,5.22,4.56,4.37,4.42,4.26,3.45,-87.662979863461,41.69680535246711
68,5/28/2021,"10819 S Vernon Ave, Chicago, IL",5,2.76,3.46,4.1,4.22,4.26,4.61,4.85,4.78,4.89,4.72,6.47,-87.61199295258493,41.69757075
70,1/24/2020,"10930 S Lawndale Ave, Chicago, IL",2,3.77,3.18,3.43,3.33,3.16,3.12,3.05,3.04,2.85,3.13,3.01,-87.71327790970592,41.694422628626455
71,6/24/2021,"10980 S Morgan St, Chicago, IL",5,2.36,3.32,6.14,6.93,15.0,11.1,9.82,12.5,11.6,13.3,11.0,-87.64742108327971,41.69442717893775
73,11/5/2019,"1094 N Central Park Ave, Chicago, IL",2,5.63,6.92,7.66,9.01,9.9,11.1,13.2,13.3,13.1,12.8,13.3,-87.71660059645244,41.90074063833747
74,2/7/2020,"1046 N Damen Ave, Chicago, IL",2,3.22,1.54,1.44,1.55,1.59,1.55,1.37,1.32,1.19,1.08,0.822,-87.67729871216301,41.90074254192253
76,10/9/2019,"1069 N Massasoit Ave, Chicago, IL",2,18.9,60.8,6.63,4.86,4.47,4.44,3.91,4.04,3.74,3.56,3.75,-87.76909963719403,41.89966423921772
78,9/1/2017,"1071 W 18Th St, Chicago, IL",3,8.39,6.07,6.79,6.97,7.32,9.59,9.29,9.7,13.1,12.3,4.42,-87.65247465041617,41.857925
79,7/28/2017,"1029 W Dickens Ave, Chicago, IL",1,0.5,0.5,1.11,1.22,0.5,0.5,1.06,1.04,1.05,1.09,1.79,-87.654477,41.919825
80,10/5/2016,"11094 S Central Park Ave, Chicago, IL",1,11.8,12.1,10.4,14.2,17.4,14.6,10.7,16.5,21.3,16.0,11.7,-87.71070971497889,41.69203683670879
81,1/21/2020,"11011 S Eberhart Ave, Chicago, IL",2,4.45,2.79,2.99,3.31,6.38,7.29,8.03,8.08,5.82,4.4,11.2,-87.61077961353492,41.6942489
82,11/1/2021,"11033 S Homewood Ave, Chicago, IL",3,5.24,5.64,5.85,5.82,5.71,5.88,6.04,6.58,6.32,5.57,1.15,-87.668871,41.69306
84,2/2/2022,"11057 S Sangamon St, Chicago, IL",1,4.85,9.89,9.99,9.2,8.04,5.96,4.7,4.45,4.24,3.54,1.79,-87.64511941883879,41.693318041997685
85,9/3/2021,"11149 S Avenue B, Chicago, IL",2,1.2,3.1,7.9,12.0,16.0,28.0,41.0,44.0,53.0,44.0,35.0,-87.52570943676378,41.692957670490756
87,4/13/2019,"11123 S Avenue H, Chicago, IL",5,1.85,1.15,0.5,1.34,2.8,5.4,4.62,4.69,4.78,4.77,0.5,-87.532759,41.69274776804497
88,11/5/2016,"11199 S Drake Ave, Chicago, IL",1,3.61,4.35,3.79,3.24,4.64,4.16,3.57,3.83,5.73,7.61,10.2,-87.70916743082509,41.68924812833358
89,12/2/2016,"11190 S Hoyne Ave, Chicago, IL",1,2.84,4.12,6.4,8.39,12.5,12.8,13.6,15.0,13.2,8.15,1.68,-87.67379810705673,41.690299020676115
90,3/4/2022,"11186 S Loomis St, Chicago, IL",5,6.08,6.18,6.28,11.0,6.9,6.36,8.04,7.44,7.68,12.4,6.44,-87.65703001552825,41.6905604906924
93,12/5/2019,"11297 S Avenue H, Chicago, IL",1,16.7,28.8,34.1,36.3,35.6,30.9,30.2,31.1,31.2,32.4,34.3,-87.53275790607167,41.69016444887319
94,6/29/2021,"11275 S Emerald Ave, Chicago, IL",3,7.04,5.26,4.81,7.11,13.0,19.3,18.9,17.3,15.3,12.9,5.33,-87.64095964803563,41.68924375310957
96,6/21/2021,"11234 S Forrestville Ave, Chicago, IL",2,6.59,6.65,6.34,7.47,12.0,15.3,13.9,14.5,15.9,14.0,3.48,-87.60967466925895,41.690025755190234
100,7/20/2018,"11246 S Spaulding Ave, Chicago, IL",5,4.4,4.9,7.45,7.5,4.93,3.95,5.19,7.32,7.46,7.31,7.24,-87.70326205698295,41.688514086198424
101,6/17/2021,"11245 S St Lawrence Ave, Chicago, IL",2,4.61,5.13,5.65,6.89,8.71,8.53,7.37,7.24,15.4,21.7,23.9,-87.60805201614806,41.689698500000006
103,7/18/2019,"11371 S Avenue L, Chicago, IL",1,8.37,10.3,13.5,15.4,11.1,10.9,10.1,8.47,6.89,5.37,5.51,-87.53637838453614,41.688787572192794
104,1/11/2020,"11346 S Cottage Grove Ave, Chicago, IL",2,11.0,12.7,11.7,17.5,21.9,27.0,25.5,25.3,26.6,25.6,18.4,-87.61106917505077,41.68790659282099
