,Date Sampled,Address,x1x2,x2x3,x3x4,x4x5,x5x6,x6x7,x7x8,x8x9,x9x10,x10x11
0,9/4/2019,100XX S Bell Ave,-0.09868421052631574,0.1605839416058394,0.5911949685534589,-0.035573122529644216,-0.2213114754098361,0.2894736842105265,0.19183673469387744,0.2842465753424658,0.0293333333333333,0.1269430051813471
1,7/16/2016,100XX S Calhoun Ave,-0.2918918918918919,2.3702290076335877,0.5628539071347679,-0.04347826086956532,0.03030303030303033,-0.09558823529411757,-0.04065040650406504,-0.0847457627118644,-0.2583333333333334,-0.6566791510611735
2,12/17/2019,100XX S Calumet Ave,0.33084577114427866,0.30280373831775703,-0.060258249641319934,1.7022900763358777,-0.06214689265536712,-0.2710843373493977,-0.04132231404958678,0.03448275862068969,-0.07500000000000002,-0.21441441441441433
3,7/14/2021,100XX S Carpenter St,-0.21428571428571427,-0.19727272727272727,-0.08040770101925264,0.07019704433497541,-0.17836593785960875,0.5406162464985995,-0.3172727272727273,0.13182423435419444,-0.05764705882352944,
4,12/14/2019,100XX S Carpenter St,-0.23375262054507334,-0.04924760601915177,-0.18992805755395686,-0.127886323268206,0.45621181262729127,0.7342657342657343,0.05645161290322575,-0.22900763358778625,-0.055445544554455495,-0.2421383647798741
5,12/14/2021,100XX S Lasalle St,-0.11999999999999993,-0.21590909090909094,-0.10144927536231886,0.3387096774193549,0.19277108433734935,0.11111111111111108,-0.10909090909090903,0.020408163265306048,-0.05,-0.4421052631578948
6,9/16/2016,100XX S Washtenaw Ave,0.0036764705882352156,0.09157509157509157,0.02684563758389264,1.0686274509803921,0.6113744075829383,0.01960784313725501,0.0,0.06730769230769224,0.07207207207207214,-0.04201680672268907
7,1/8/2020,101XX S Dr Martin Luther King Jr Dr,-0.5994550408719347,0.23129251700680278,0.32044198895027626,0.36820083682008364,0.6727828746177369,0.1462522851919561,-0.4322169059011164,-0.5196629213483146,-0.21052631578947362,-0.1925925925925926
8,10/16/2019,101XX S Eberhart ,1.5417867435158499,-0.2675736961451247,-0.29102167182662536,-0.03930131004366806,0.022727272727272645,0.5555555555555556,0.9714285714285715,0.021739130434782532,-0.11347517730496452,-0.6584
9,3/23/2022,101XX S Lasalle St,,,,,,,,,,
10,6/18/2021,101XX S Peoria St,0.06521739130434799,0.08163265306122437,0.3018867924528303,-0.05797101449275367,0.23076923076923078,0.050000000000000044,-0.05952380952380952,-0.050632911392405104,-0.013333333333333286,
11,11/19/2019,101XX S Perry ,-0.25581395348837205,1.2499999999999998,0.12326388888888888,0.07418856259659976,-0.028776978417266213,0.26962962962962966,0.6802800466744457,0.05555555555555548,0.026315789473684237,-0.6634615384615384
12,12/10/2016,101XX S Seeley Ave,0.0036319612590798257,-0.06031363088057891,0.03979460847240046,-0.15555555555555553,-0.0014619883040935362,-0.038067349926793524,0.0,0.30745814307458136,0.1443538998835856,0.12919633774160727
13,6/28/2021,101XX S St Lawrence Ave,-0.5201612903225806,0.1806722689075631,0.5587188612099644,-0.18264840182648398,0.08659217877094974,0.13881748071979425,0.6501128668171557,0.43638850889192893,0.11428571428571421,
14,10/26/2021,101XX S Washtenaw Ave,0.35937499999999983,-0.31034482758620685,0.016666666666666607,0.3278688524590164,0.6049382716049383,0.46153846153846156,0.15789473684210525,0.045454545454545456,-0.043478260869565216,
15,5/21/2021,101XX S Yates Ave,0.2619047619047618,0.679245283018868,0.348314606741573,0.16666666666666666,0.07142857142857142,-0.13333333333333333,0.0,0.0,-0.07692307692307693,
16,1/24/2020,101XX S Yates Ave,3.363636363636364,-0.38888888888888884,-0.37215909090909094,-0.20361990950226244,-0.11363636363636373,-0.10256410256410255,-0.04285714285714283,0.029850746268656744,0.10869565217391304,0.12418300653594762
17,12/20/2016,102XX S Artesian Ave,0.0649350649350649,0.2439024390243903,-0.006535947712418306,-0.05263157894736847,-0.08333333333333326,-0.08901515151515163,0.008316008316008323,0.002061855670103232,-0.049382716049382755,-0.7272727272727273
18,2/11/2019,102XX S Forest ,0.3157894736842105,0.014999999999999902,0.42118226600985226,0.712305025996534,-0.06477732793522273,-0.01731601731601733,-0.2125550660792951,-0.41118881118881123,-0.4916864608076009,-0.3457943925233646
19,6/23/2021,102XX S May St,0.8076285240464345,0.37614678899082565,0.6799999999999999,-0.11904761904761905,-0.17567567567567563,-0.4726775956284153,-0.23834196891191717,-0.09659863945578231,-0.07981927710843364,
20,9/17/2019,102XX S Oglesby Ave,1.6391752577319592,0.6210937499999999,0.01445783132530124,-0.1401425178147268,-0.13812154696132606,-0.16666666666666666,-0.0884615384615385,-0.1434599156118143,-0.20197044334975375,-0.7006172839506173
21,9/28/2016,103XX S Hamilton Ave,1.7016129032258067,-0.03582089552238809,0.9164086687306503,0.09531502423263324,-0.03097345132743362,0.3607305936073058,0.04921700223713661,-0.0426439232409382,-0.05456570155902007,0.04593639575971738
22,8/29/2019,103XX S Peoria ,-0.6304347826086956,-0.4152249134948097,-0.3076923076923077,0.0,-0.025641025641025664,0.16666666666666682,0.11278195488721797,-0.006756756756756763,0.26530612244897966,-0.3494623655913979
23,10/8/2016,103XX S Prospect Ave,0.01086956521739146,0.2731182795698924,0.13513513513513511,0.5327380952380955,0.6019417475728154,-0.2727272727272727,0.06666666666666672,0.0390625,-0.03759398496240601,-0.4703125
24,8/26/2016,103XX S St Louis Ave,,,0.004273504273504373,1.3999999999999997,1.1808510638297876,0.08943089430894305,-0.052238805970149335,-0.055118110236220416,-0.1416666666666666,-0.32718446601941753
