"","Date.Sampled","Address","RD_X1X2","RD_X2X3","RD_X3X4","RD_X4X5","RD_X5X6","RD_X6X7","RD_X7X8","RD_X8X9","RD_X9X10","HCluster"
"1","9/4/2019","100XX S Bell Ave",-0.0986842105263157,0.160583941605839,0.591194968553459,-0.0355731225296442,-0.221311475409836,0.289473684210526,0.191836734693877,0.284246575342466,0.0293333333333333,1
"2","7/16/2016","100XX S Calhoun Ave",-0.291891891891892,2.37022900763359,0.562853907134768,-0.0434782608695653,0.0303030303030303,-0.0955882352941176,-0.040650406504065,-0.0847457627118644,-0.258333333333333,2
"3","12/17/2019","100XX S Calumet Ave",0.330845771144279,0.302803738317757,-0.0602582496413199,1.70229007633588,-0.0621468926553671,-0.271084337349398,-0.0413223140495868,0.0344827586206897,-0.075,2
"4","7/14/2021","100XX S Carpenter St",-0.214285714285714,-0.197272727272727,-0.0804077010192526,0.0701970443349754,-0.178365937859609,0.5406162464986,-0.317272727272727,0.131824234354194,-0.0576470588235294,3
"5","12/14/2019","100XX S Carpenter St",-0.233752620545073,-0.0492476060191518,-0.189928057553957,-0.127886323268206,0.456211812627291,0.734265734265734,0.0564516129032257,-0.229007633587786,-0.0554455445544555,3
"6","12/14/2021","100XX S Lasalle St",-0.12,-0.215909090909091,-0.101449275362319,0.338709677419355,0.192771084337349,0.111111111111111,-0.109090909090909,0.020408163265306,-0.05,2
"7","9/16/2016","100XX S Washtenaw Ave",0.00367647058823522,0.0915750915750916,0.0268456375838926,1.06862745098039,0.611374407582938,0.019607843137255,0,0.0673076923076922,0.0720720720720721,4
"8","1/8/2020","101XX S Dr Martin Luther King Jr Dr",-0.599455040871935,0.231292517006803,0.320441988950276,0.368200836820084,0.672782874617737,0.146252285191956,-0.432216905901116,-0.519662921348315,-0.210526315789474,1
"9","10/16/2019","101XX S Eberhart ",1.54178674351585,-0.267573696145125,-0.291021671826625,-0.0393013100436681,0.0227272727272726,0.555555555555556,0.971428571428572,0.0217391304347825,-0.113475177304965,3
"10","3/23/2022","101XX S Lasalle St",0,0,0,0,0,0,0,0,0,2
"11","6/18/2021","101XX S Peoria St",0.065217391304348,0.0816326530612244,0.30188679245283,-0.0579710144927537,0.230769230769231,0.05,-0.0595238095238095,-0.0506329113924051,-0.0133333333333333,1
"12","11/19/2019","101XX S Perry ",-0.255813953488372,1.25,0.123263888888889,0.0741885625965998,-0.0287769784172662,0.26962962962963,0.680280046674446,0.0555555555555555,0.0263157894736842,2
"13","12/10/2016","101XX S Seeley Ave",0.00363196125907983,-0.0603136308805789,0.0397946084724005,-0.155555555555556,-0.00146198830409354,-0.0380673499267935,0,0.307458143074581,0.144353899883586,5
"14","6/28/2021","101XX S St Lawrence Ave",-0.520161290322581,0.180672268907563,0.558718861209964,-0.182648401826484,0.0865921787709497,0.138817480719794,0.650112866817156,0.436388508891929,0.114285714285714,1
"15","10/26/2021","101XX S Washtenaw Ave",0.359375,-0.310344827586207,0.0166666666666666,0.327868852459016,0.604938271604938,0.461538461538462,0.157894736842105,0.0454545454545455,-0.0434782608695652,3
"16","5/21/2021","101XX S Yates Ave",0.261904761904762,0.679245283018868,0.348314606741573,0.166666666666667,0.0714285714285714,-0.133333333333333,0,0,-0.0769230769230769,1
"17","1/24/2020","101XX S Yates Ave",3.36363636363636,-0.388888888888889,-0.372159090909091,-0.203619909502262,-0.113636363636364,-0.102564102564103,-0.0428571428571428,0.0298507462686567,0.108695652173913,2
"18","12/20/2016","102XX S Artesian Ave",0.0649350649350649,0.24390243902439,-0.00653594771241831,-0.0526315789473685,-0.0833333333333333,-0.0890151515151516,0.00831600831600832,0.00206185567010323,-0.0493827160493828,2
"19","2/11/2019","102XX S Forest ",0.315789473684211,0.0149999999999999,0.421182266009852,0.712305025996534,-0.0647773279352227,-0.0173160173160173,-0.212555066079295,-0.411188811188811,-0.491686460807601,1
"20","6/23/2021","102XX S May St",0.807628524046434,0.376146788990826,0.68,-0.119047619047619,-0.175675675675676,-0.472677595628415,-0.238341968911917,-0.0965986394557823,-0.0798192771084336,1
"21","9/17/2019","102XX S Oglesby Ave",1.63917525773196,0.62109375,0.0144578313253012,-0.140142517814727,-0.138121546961326,-0.166666666666667,-0.0884615384615385,-0.143459915611814,-0.201970443349754,2
"22","9/28/2016","103XX S Hamilton Ave",1.70161290322581,-0.0358208955223881,0.91640866873065,0.0953150242326332,-0.0309734513274336,0.360730593607306,0.0492170022371366,-0.0426439232409382,-0.0545657015590201,1
"23","8/29/2019","103XX S Peoria ",-0.630434782608696,-0.41522491349481,-0.307692307692308,0,-0.0256410256410257,0.166666666666667,0.112781954887218,-0.00675675675675676,0.26530612244898,2
"24","10/8/2016","103XX S Prospect Ave",0.0108695652173915,0.273118279569892,0.135135135135135,0.532738095238095,0.601941747572815,-0.272727272727273,0.0666666666666667,0.0390625,-0.037593984962406,4
"25","8/26/2016","103XX S St Louis Ave",0,3.68,0.00427350427350437,1.4,1.18085106382979,0.089430894308943,-0.0522388059701493,-0.0551181102362204,-0.141666666666667,2
"26","7/25/2016","103XX S Vernon Ave",-0.0544412607449858,0.00606060606060607,0.716867469879518,-0.315789473684211,0.169230769230769,0.162280701754386,0.0377358490566038,0.321818181818182,0.0550206327372765,1
"27","10/29/2019","104XX S Albany ",0.12007874015748,-0.100175746924429,0.265625,0.0601851851851851,1.372634643377,0.0797546012269939,-0.0738636363636364,0.0736196319018404,-0.234285714285714,4
